date,open,high,low,close,volume,ticker,source
2012-03-20,21.41107,21.675,21.12429,21.64143,816662000.0,AAPL,twelvedata
2012-03-21,21.52643,21.77321,21.47893,21.51786,644042000.0,AAPL,twelvedata
2012-03-22,21.34929,21.58929,21.26893,21.405,623870800.0,AAPL,twelvedata
2012-03-23,21.44607,21.49286,21.22857,21.2875,430488800.0,AAPL,twelvedata
2012-03-26,21.42107,21.68393,21.25929,21.67786,595742000.0,AAPL,twelvedata
2012-03-27,21.64929,22.01,21.645,21.94571,607129600.0,AAPL,twelvedata
2012-03-28,22.084999,22.19464,21.79679,22.057858,655460400.0,AAPL,twelvedata
2012-03-29,21.885,22.02,21.68679,21.78071,608238400.0,AAPL,twelvedata
2012-03-30,21.74179,21.80571,21.355,21.4125,731038000.0,AAPL,twelvedata
2012-04-02,21.49393,22.098928,21.44214,22.093929,598351600.0,AAPL,twelvedata
2012-04-03,22.40357,22.57893,22.2325,22.47571,834559600.0,AAPL,twelvedata
2012-04-04,22.29821,22.35214,22.035713,22.29679,572980800.0,AAPL,twelvedata
2012-04-05,22.39214,22.66643,22.26429,22.63143,641298000.0,AAPL,twelvedata
2012-04-09,22.36179,22.85143,22.33214,22.7225,597536800.0,AAPL,twelvedata
2012-04-10,22.85464,23.0,22.35714,22.44429,889725200.0,AAPL,twelvedata
2012-04-11,22.72143,22.74536,22.26214,22.36429,696614800.0,AAPL,twelvedata
2012-04-12,22.32143,22.5475,22.16071,22.24179,614336800.0,AAPL,twelvedata
2012-04-13,22.28964,22.31071,21.55393,21.61536,859644800.0,AAPL,twelvedata
2012-04-16,21.78786,21.79571,20.65179,20.71893,1050786800.0,AAPL,twelvedata
2012-04-17,20.67643,21.78571,20.42536,21.775,1025528000.0,AAPL,twelvedata
2012-04-18,21.91857,22.15179,21.52536,21.72643,954531200.0,AAPL,twelvedata
2012-04-19,21.43643,21.5975,20.87571,20.98,834719200.0,AAPL,twelvedata
2012-04-20,21.12071,21.23643,20.37214,20.46357,1030985200.0,AAPL,twelvedata
2012-04-23,20.37893,20.59536,19.87929,20.41786,966529200.0,AAPL,twelvedata
2012-04-24,20.093214,20.27464,19.82143,20.01,1076149200.0,AAPL,twelvedata
2012-04-25,21.98714,22.071428,21.64286,21.78571,905777600.0,AAPL,twelvedata
2012-04-26,21.93821,21.95321,21.50464,21.70357,536068400.0,AAPL,twelvedata
2012-04-27,21.60964,21.64929,21.44643,21.53571,406722400.0,AAPL,twelvedata
2012-04-30,21.35,21.37143,20.82143,20.85643,506144800.0,AAPL,twelvedata
2012-05-01,20.88929,21.31286,20.75821,20.79036,610999200.0,AAPL,twelvedata
2012-05-02,20.72286,20.97857,20.67357,20.92786,427389200.0,AAPL,twelvedata
2012-05-03,21.089287,21.12143,20.725,20.77929,390549600.0,AAPL,twelvedata
2012-05-04,20.61,20.65571,20.18464,20.1875,529992400.0,AAPL,twelvedata
2012-05-07,20.053572,20.45607,20.043928,20.33857,460118400.0,AAPL,twelvedata
2012-05-08,20.34214,20.41071,19.95464,20.29214,497252000.0,AAPL,twelvedata
2012-05-09,20.13214,20.49929,20.030357,20.32786,480704000.0,AAPL,twelvedata
2012-05-10,20.52071,20.56714,20.30143,20.37571,333200000.0,AAPL,twelvedata
2012-05-11,20.17857,20.51679,20.15536,20.23964,399546000.0,AAPL,twelvedata
2012-05-14,20.091785,20.26821,19.91429,19.93643,352626400.0,AAPL,twelvedata
2012-05-15,20.051786,20.115,19.70536,19.75607,476336000.0,AAPL,twelvedata
2012-05-16,19.7875,19.88893,19.32286,19.50286,560896000.0,AAPL,twelvedata
2012-05-17,19.47536,19.55357,18.93286,18.93286,717220000.0,AAPL,twelvedata
